Record_ID,Country,State_Region,Date,Happiness_Score,GDP_Per_Capita,Social_Support,Healthy_Life_Expectancy,Freedom_To_Make_Life_Choices,Generosity,Perceptions_Of_Corruption,Positive_Affect,Negative_Affect,Confidence_In_Government
HAPPY_015406,UK,South East,2022-10-03,7.689,76222.93,0.6,45.0,0.838,0.327,0.264,0.801,0.511,0.176
HAPPY_005339,India,Tamil Nadu,2022-11-14,6.886,2988.95,0.856,52.7,1.099,0.217,0.859,0.47,0.48,0.715
HAPPY_000964,Turkey,Samsun,2017-09-15,3.435,8406.19,1.186,61.2,0.833,0.5,0.573,,0.36,0.167
HAPPY_012007,Turkey,Antalya,2023-11-16,6.572,27883.42,0.929,66.8,0.303,-0.11,0.207,0.856,0.119,0.48
HAPPY_014073,France,Hauts-de-France,2021-01-19,2.563,10817.99,1.191,72.3,1.021,-0.22,0.101,0.428,0.605,0.735
HAPPY_010480,China,Zhejiang,2023-01-19,6.773,19237.39,0.905,66.3,0.766,-0.019,0.229,0.815,0.608,0.41
HAPPY_001555,UK,South West,2023-11-21,6.479,15327.29,1.296,57.2,0.699,-0.01,0.066,0.852,0.486,0.408
HAPPY_013412,Germany,Saxony,2017-04-12,6.401,4231.57,0.375,45.0,0.924,0.442,0.158,0.71,0.441,0.674
HAPPY_003025,Spain,Aragon,2024-04-14,3.855,13973.38,1.152,57.0,0.423,0.069,0.221,0.713,0.314,0.483
HAPPY_012099,South Korea,Seoul,2015-09-11,5.462,2290.91,0.508,63.5,1.341,0.167,0.217,0.47,0.54,0.542
HAPPY_002225,Russia,Irkutsk Oblast,2023-11-21,5.838,6455.48,1.305,46.0,1.152,0.195,0.16,0.481,0.633,0.373
HAPPY_013486,Australia,Tasmania,2023-09-08,2.633,39509.77,0.68,68.1,1.194,-0.185,0.437,0.885,0.22,
HAPPY_008371,Australia,South Australia,2016-07-17,3.565,60690.06,0.884,49.0,0.562,-0.059,0.167,0.576,0.741,0.203
HAPPY_013761,Russia,Krasnodar Krai,2024-10-09,5.625,24450.59,0.971,62.9,1.068,0.152,0.491,0.986,0.21,0.513
HAPPY_001767,Brazil,Paraiba,2023-09-21,4.477,25527.91,1.687,76.1,1.285,-0.039,0.82,0.766,0.283,0.358
HAPPY_001081,Italy,Apulia,2019-07-12,6.535,8028.24,1.048,63.5,0.545,-0.039,0.248,0.556,0.816,0.631
HAPPY_002059,Russia,Samara Oblast,2020-02-15,5.958,7276.46,0.911,71.4,0.536,0.043,0.297,0.89,0.088,0.653
HAPPY_013577,France,Grand Est,2020-02-21,7.477,46347.83,1.917,45.0,0.354,-0.051,0.572,0.74,0.547,0.379
HAPPY_014775,Brazil,Rio Grande do Sul,2021-03-24,6.943,12963.28,0.69,66.1,1.038,0.013,0.639,0.699,0.417,0.321
HAPPY_008062,China,Shaanxi,2015-07-12,6.63,6660.81,1.309,82.6,0.271,0.304,0.39,0.375,0.267,0.176
HAPPY_010929,Canada,British Columbia,2024-03-07,3.146,33952.87,1.415,62.4,0.899,-0.197,0.48,0.609,0.037,0.135
HAPPY_010450,Iran,Mazandaran,2023-07-12,7.764,14787.25,1.528,66.9,0.401,0.174,0.316,0.526,0.323,0.593
HAPPY_010420,South Africa,North West,2016-08-15,4.956,5313.45,0.743,49.3,1.079,-0.104,0.261,0.8,0.433,
HAPPY_010356,USA,California,2016-06-09,5.97,32458.8,1.819,45.0,0.966,0.437,0.429,0.713,0.468,0.565
HAPPY_008410,Mexico,San Luis Potosi,2024-11-02,3.315,9320.27,1.856,71.2,0.877,0.164,0.409,0.88,0.894,0.344
HAPPY_004080,Germany,Lower Saxony,2021-01-05,7.722,26959.1,1.739,55.0,0.995,-0.193,0.64,0.701,0.731,0.153
HAPPY_013353,Canada,Nova Scotia,2017-06-09,7.347,9173.07,1.065,56.5,0.529,-0.026,0.152,0.641,0.317,0.495
HAPPY_013308,France,Centre-Val de Loire,2016-03-17,6.58,27100.41,1.566,56.9,1.01,0.5,0.356,0.57,0.418,0.354
HAPPY_001447,Italy,Lombardy,2015-11-06,4.321,15914.57,0.967,74.6,0.588,-0.008,0.145,0.437,0.276,0.526
HAPPY_004479,Mexico,Guanajuato,2024-03-05,4.222,10383.87,1.512,77.6,1.325,0.185,0.546,0.704,0.137,0.625
HAPPY_002345,Russia,Novosibirsk Oblast,2017-10-08,4.081,17205.74,0.901,76.5,1.072,0.047,0.231,0.652,0.638,0.892
HAPPY_008212,UK,East of England,2018-09-17,4.369,15408.75,1.438,62.5,0.647,-0.001,,0.788,0.148,0.519
HAPPY_009391,Japan,Hyogo,2023-08-11,6.685,12107.38,1.327,75.6,0.636,-0.182,0.375,0.537,0.165,0.362
HAPPY_006085,UK,Yorkshire,2017-01-19,4.135,30632.38,1.49,72.3,0.545,-0.364,0.661,0.687,0.839,0.131
HAPPY_003970,Japan,Hiroshima,2018-03-15,6.067,5071.93,1.572,73.0,0.864,0.5,0.277,0.788,0.496,0.064
HAPPY_004015,Mexico,State of Mexico,2023-06-10,3.457,21809.12,1.984,77.0,1.003,0.018,0.582,0.59,0.54,0.174
HAPPY_010751,USA,Colorado,2017-07-06,5.39,23960.7,1.729,45.0,1.352,-0.173,0.472,0.83,0.629,0.456
HAPPY_011568,Canada,Ontario,2019-01-06,8.196,5251.6,0.903,57.0,1.031,0.354,0.257,0.12,0.6,0.416
HAPPY_006347,South Africa,Eastern Cape,2024-08-28,2.906,2611.58,1.087,72.3,1.211,-0.257,0.435,0.36,0.68,0.542
HAPPY_006965,Australia,Northern Territory,2022-05-21,2.958,9057.02,1.3,70.0,0.625,0.5,0.533,0.443,0.249,0.576
HAPPY_007763,Iran,West Azerbaijan,2023-02-20,4.28,2774.59,1.884,69.4,0.606,0.5,0.644,0.924,0.093,0.382
HAPPY_003227,Russia,Krasnoyarsk Krai,2021-11-24,5.751,6865.98,1.099,59.2,0.664,0.156,0.504,0.767,0.545,0.438
HAPPY_009360,USA,Ohio,2021-12-09,7.1,8568.92,1.348,64.0,0.932,-0.215,0.39,0.466,0.569,0.304
HAPPY_014074,Japan,Tokyo,2015-09-07,6.27,4014.12,1.999,53.8,1.471,-0.368,0.253,0.556,0.155,0.132
HAPPY_008838,India,Haryana,2016-12-03,8.237,13607.27,1.685,45.0,0.334,0.164,0.38,0.415,0.378,0.647
HAPPY_012527,Germany,Saarland,2024-04-06,4.903,4909.98,1.535,85.0,1.311,-0.027,0.603,0.539,0.46,0.475
HAPPY_010495,Brazil,Rio de Janeiro,2022-05-20,4.02,17856.72,1.154,85.0,0.485,0.274,0.636,0.767,0.012,0.396
HAPPY_013741,Iran,Kerman,2017-01-24,8.326,17804.73,1.598,74.8,0.954,0.4,0.398,0.598,0.321,0.638
HAPPY_006434,China,Jilin,2015-05-20,4.287,8876.01,1.853,51.0,0.808,0.246,0.16,0.921,0.21,0.553
HAPPY_002691,South Korea,Jeolla,2016-05-01,3.392,8677.05,1.636,85.0,1.18,0.5,0.24,0.679,0.063,0.3
HAPPY_012217,Mexico,Michoacan,2024-12-15,7.792,12858.55,1.614,61.4,1.367,-0.154,0.195,0.472,0.493,0.594
HAPPY_012723,Italy,Campania,2015-04-21,3.286,2877.6,1.846,53.8,0.882,0.147,0.422,0.238,0.281,0.448
HAPPY_013102,Spain,Madrid,2022-11-14,7.337,47421.33,1.878,68.2,0.726,0.074,0.226,0.697,0.267,0.331
HAPPY_008009,Russia,Moscow Oblast,2016-07-03,2.514,22875.56,0.846,45.0,1.22,-0.057,0.12,0.319,0.236,0.168
HAPPY_007690,Japan,Kyoto,2015-11-04,5.973,3339.74,1.389,57.1,1.096,0.047,0.497,0.68,0.542,0.636
HAPPY_009342,Spain,Catalonia,2018-11-17,2.783,14389.62,0.516,62.4,,0.463,0.744,0.714,0.223,0.239
HAPPY_013748,Iran,Kurdistan,2018-08-27,4.307,24328.74,1.571,66.1,0.836,-0.391,0.123,0.712,0.74,
HAPPY_003535,Mexico,San Luis Potosi,2018-10-21,7.922,59900.16,1.435,65.7,0.397,-0.452,0.368,0.296,0.544,0.693
HAPPY_004369,Germany,Bavaria,2015-12-28,5.791,3213.78,1.863,72.4,1.359,0.207,0.388,0.71,0.259,0.133
HAPPY_012615,Japan,Tokyo,2015-06-25,4.456,6692.48,1.527,72.1,1.034,0.106,0.548,,0.355,0.388
HAPPY_009555,Australia,Northern Territory,2021-02-09,7.517,7269.79,1.836,65.6,0.532,0.076,0.589,0.797,0.373,0.404
