Record_ID,Symbol,Company_Name,Sector,Date,Open_Price,High_Price,Low_Price,Close_Price,Volume,Market_Cap,PE_Ratio,Dividend_Yield,RSI
STK_000242,SBUX,Starbucks Corporation,Consumer Cyclical,2025-03-21,94.83,96.63,92.01,96.01,7069887948.0,111169473684.0,22.7,1.42,70.0
STK_002993,BA,Boeing Co.,Industrials,2025-02-24,221.13,234.95,215.52,228.81,1850130108.0,145606363636.0,18.5,2.17,22.3
STK_001802,AMGN,Amgen Inc.,Healthcare,2025-03-11,281.78,286.74,272.55,274.34,1773730287.0,146967857142.0,25.9,1.5,54.9
STK_002320,GOOGL,Alphabet Inc.,Technology,2025-01-08,138.31,150.51,136.47,147.81,1217425580.0,1900414285714.0,31.6,4.39,64.6
STK_002508,ATVI,Activision Blizzard Inc.,Communication Services,2025-03-01,89.09,93.36,87.28,91.01,1718412627.0,70785555555.0,29.9,2.91,46.7
STK_009802,GS,Goldman Sachs Group Inc.,Financial Services,2025-01-01,378.69,389.45,359.71,365.16,376748873.0,124923157894.0,27.3,1.05,52.9
STK_004486,JPM,JPMorgan Chase & Co.,Financial Services,2025-03-13,170.05,179.02,168.72,,987970553.0,515117647058.0,26.0,2.37,63.3
STK_004599,UNH,UnitedHealth Group Inc.,Healthcare,2025-02-20,497.49,503.17,476.2,488.07,4341612052.0,439263000000.0,19.7,2.07,56.6
STK_009251,HD,Home Depot Inc.,Consumer Cyclical,2025-03-18,331.23,340.58,322.42,337.35,519987659.0,357795454545.0,18.5,4.25,69.1
STK_001812,CRM,Salesforce Inc.,Technology,2025-02-06,232.42,241.21,228.31,234.31,4404373844.0,224122608695.0,20.1,3.7,
STK_006242,NKE,Nike Inc.,Consumer Cyclical,2025-02-08,99.8,104.68,97.16,101.71,3392262808.0,162735999999.0,23.9,3.14,79.2
STK_017447,META,Meta Platforms Inc.,Communication Services,2025-01-11,316.61,322.98,305.91,307.94,2069690414.0,962312500000.0,30.5,2.02,42.1
STK_013800,BA,Boeing Co.,Industrials,2025-03-18,221.59,228.31,220.13,226.73,2060498420.0,144282727272.0,,0.02,76.9
STK_007830,ACN,Accenture plc,Technology,2025-01-05,317.73,320.2,306.18,311.97,982733198.0,194981250000.0,22.0,1.07,37.2
STK_004693,ADBE,Adobe Inc.,Technology,2025-01-29,519.19,536.49,,525.13,482945249.0,252466346153.0,32.9,1.11,42.7
STK_003599,ATVI,Activision Blizzard Inc.,Communication Services,2025-02-14,88.53,90.49,86.14,88.8,9029384112.0,69066666666.0,44.7,0.56,60.9
STK_008172,DIS,Walt Disney Co.,Communication Services,2025-02-20,96.6,98.09,92.4,94.33,10803363194.0,178730526315.0,25.4,1.24,38.1
STK_009100,NKE,Nike Inc.,Consumer Cyclical,2025-02-15,98.49,99.66,97.32,98.72,971463399.0,157952000000.0,30.8,3.94,76.0
STK_007184,JNJ,Johnson & Johnson,Healthcare,2025-01-20,152.76,155.41,149.21,150.97,2312496112.0,389600000000.0,30.4,1.07,59.6
STK_001333,HON,Honeywell International Inc.,Industrials,2025-02-17,198.78,201.66,190.79,194.85,6148189883.0,126652500000.0,9.1,2.6,73.5
STK_004098,MSFT,Microsoft Corporation,Technology,2025-02-15,385.79,396.33,383.12,386.03,457726204.0,2539671052631.0,27.6,0.35,46.3
STK_012041,AAPL,Apple Inc.,Technology,2025-01-06,177.39,185.8,174.59,184.43,718627036.0,2868911111111.0,39.8,2.55,21.3
STK_010492,AMD,Advanced Micro Devices Inc.,Technology,2025-02-03,150.77,155.21,149.58,,13178576835.0,244047999999.0,26.7,3.72,53.5
